Counter Locations,Latitude,Longitude
O'Connell st/Princes st North,53.34902,-6.26005
Mary st/Jervis st,53.34877,-6.26674
Capel st/Mary street,53.34842,-6.26918
Aston Quay/Fitzgeralds,53.34662,-6.25982
Grafton Street/CompuB,53.34337,-6.25898
D'olier st/Burgh Quay,53.3469,-6.25872
Dame Street/Londis,53.34424,-6.26116
Grafton Street / Nassau Street / Suffolk Street,53.34352,-6.25912
College Green/Bank Of Ireland,53.34505,-6.25939
Grafton st/Monsoon,53.34082,-6.26035
College st/Westmoreland st,53.345099,-6.258778
Baggot st lower/Wilton tce inbound,53.33448,-6.24577
Baggot st upper/Mespil rd/Bank,53.33385,-6.24469
Grand Canal st upp/Clanwilliam place,53.33851,-6.2379
Grand Canal st upp/Clanwilliam place/Google,53.33851,-6.239
North Wall Quay/Samuel Beckett bridge East,53.346,-6.24173
North Wall Quay/Samuel Beckett bridge West,53.34748,-6.24132
Phibsborough Rd/Enniskerry Road,53.36334,-6.27187
Richmond st south/Portabello Harbour inbound,53.33034,-6.26427
Richmond st south/Portabello Harbour outbound,53.33023,-6.26397
